Accessibility settings
AccessibilityShortcutsEnabled	Enable accessibility features shortcuts
DeviceReleaseLtsTag	Allow device to receive LTS updates
DeviceRestrictedManagedGuestSessionEnabled	Restricted managed guest sessions
DeviceRestrictionSchedule	Specifies weekly intervals when ChromeOS devices cannot be used
DeviceScheduledReboot	Set custom schedule to reboot devices
DeviceScheduledUpdateCheck	Set custom schedule to check for updates
DeviceShowLowDiskSpaceNotification	Show notification when disk space is low
DeviceSwitchFunctionKeysBehaviorEnabled	Controls the setting "Use the launcher/search key to change the behavior of function keys"
DeviceSystemWideTracingEnabled	Allow collection of system-wide performance trace
DeviceUserInitiatedFirmwareUpdatesEnabled	Allow users to initiate firmware updates
Disable3DAPIs	Disable support for 3D graphics APIs
DisableScreenshots	Disable taking screenshots
DisabledSchemes	Disable URL protocol schemes
DiskCacheDir	Set disk cache directory
DiskCacheSize	Set disk cache size in bytes
DnsOverHttpsMode	Controls the mode of DNS-over-HTTPS
DnsOverHttpsTemplates	Specify URI template of desired DNS-over-HTTPS resolver
DocumentScanAPITrustedExtensions	Extensions allowed to skip confirmation dialogs when accessing scanners via chrome.documentScan API
DomainReliabilityAllowed	Allow reporting of domain reliability related data
DownloadDirectory	Set download directory
DownloadManagerSaveToDriveSettings	Allow saving files directly to Google Drive
DownloadRestrictions	Allow download restrictions
DynamicCodeSettings	Dynamic Code Settings
EasyUnlockAllowed	Allow Smart Lock to be used
EcheAllowed	Allow Eche to be enabled.
EditBookmarksEnabled	Enable or disable bookmark editing
EmojiPickerGifSupportEnabled	GIF Support in Emoji Picker
EmojiSuggestionEnabled	Enable Emoji Suggestion
EnableExperimentalPolicies	Enables experimental policies
EnableOnlineRevocationChecks	Enable online OCSP/CRL checks
EnableSyncConsent	Enable displaying Sync Consent during sign-in
EnableUnsafeSwiftShader	Allow software WebGL fallback using SwiftShader
EncryptedClientHelloEnabled	Enable TLS Encrypted ClientHello
EnterpriseAuthenticationAppLinkPolicy	External authentication app launch URLs
EnterpriseCustomLabel	Set a custom enterprise label for a managed profile
EnterpriseCustomLabelForBrowser	Set a custom enterprise label for a managed browser
EnterpriseHardwarePlatformAPIEnabled	Enables managed extensions to use the Enterprise Hardware Platform API
EnterpriseLogoUrl	Enterprise Logo URL for a managed profile
EnterpriseLogoUrlForBrowser	Enterprise Logo URL for a managed browser
EnterpriseProfileBadgeToolbarSettings	Controls visibility of enterprise profile badge in the toolbar
EnterpriseProfileCreationKeepBrowsingData	Keep browsing data when creating enterprise profile by default
EnterpriseSearchAggregatorSettings	Enterprise search aggregator settings
EssentialSearchEnabled	Enable only essential cookies and data in search
ExemptDomainFileTypePairsFromFileTypeDownloadWarnings	Disable download file type extension-based warnings for specified file types on domains
ExplicitlyAllowedNetworkPorts	Explicitly allowed network ports
ExtensionCacheSize	Set Apps and Extensions cache size (in bytes)
ExternalProtocolDialogShowAlwaysOpenCheckbox	Show an "Always open" checkbox in external protocol dialog.
ExternalStorageAllowlist	External Storage Allowlist
ExternalStorageDisabled	Disable mounting of external storage
ExternalStorageReadOnly	Treat external storage devices as read-only
F11KeyModifier	Control the shortcut used to trigger F11
F12KeyModifier	Control the shortcut used to trigger F12
FastPairEnabled	Enable Fast Pair (fast Bluetooth pairing)
FeedbackSurveysEnabled	Specifies whether in-product Google Chrome surveys are shown to users.
FetchKeepaliveDurationSecondsOnShutdown	Fetch keepalive duration on Shutdown
FileOrDirectoryPickerWithoutGestureAllowedForOrigins	Allow file or directory picker APIs to be called without prior user gesture
FilePickerChooseFromDriveSettings	Allow choosing files directly from Google Drive
FloatingWorkspaceEnabled	Enable Floating Workspace Service
FloatingWorkspaceV2Enabled	Enable Google Chrome Service
FocusModeSoundsEnabled	Enable Sounds in Focus Mode for ChromeOS
ForceBrowserSignin	Enable force sign in for Google Chrome
ForceEphemeralProfiles	Ephemeral profile
ForceGoogleSafeSearch	Force Google SafeSearch
ForceMaximizeOnFirstRun	Maximize the first browser window on first run
ForcePermissionPolicyUnloadDefaultEnabled	Controls whether unload event handlers can be disabled.
ForceSafeSearch	Force SafeSearch
ForceYouTubeRestrict	Force minimum YouTube Restricted Mode
ForceYouTubeSafetyMode	Force YouTube Safety Mode
ForcedLanguages	Configure the content and order of preferred languages
FullRestoreEnabled	Enable the full restore feature
FullRestoreMode	Configure app restore on login
FullscreenAlertEnabled	Enable fullscreen alert
FullscreenAllowed	Allow fullscreen mode
GaiaLockScreenOfflineSigninTimeLimitDays	Limit the time for which a user authenticated via GAIA without SAML can log in offline at the lock screen
GhostWindowEnabled	Enable the ghost window feature
GloballyScopeHTTPAuthCacheEnabled	Enable globally scoped HTTP auth cache
GoogleSearchSidePanelEnabled	Enable Google Search Side Panel
HSTSPolicyBypassList	List of names that will bypass the HSTS policy check
HardwareAccelerationModeEnabled	Use graphics acceleration when available
HeadlessMode	Control use of the Headless Mode
HideWebStoreIcon	Hide the web store from the New Tab Page and app launcher
HighEfficiencyModeEnabled	Enable High Efficiency Mode
HistoryClustersVisible	Show a view of Chrome history with groups of pages
HomeAndEndKeysModifier	Control the shortcut used to trigger the Home/End "six pack" keys
HttpAllowlist	HTTP Allowlist
HttpsOnlyMode	Allow HTTPS-Only Mode to be enabled
HttpsUpgradesEnabled	Enable automatic HTTPS upgrades
ImportAutofillFormData	Import autofill form data from default browser on first run
ImportBookmarks	Import bookmarks from default browser on first run
ImportHistory	Import browsing history from default browser on first run
ImportHomepage	Import of homepage from default browser on first run
ImportSavedPasswords	Import saved passwords from default browser on first run
ImportSearchEngine	Import search engines from default browser on first run
IncognitoEnabled	Enable Incognito mode
IncognitoModeAvailability	Incognito mode availability
InsecureFormsWarningsEnabled	Enable warnings for insecure forms
InsertKeyModifier	Control the shortcut used to trigger the Insert "six pack" key
InsightsExtensionEnabled	Enable insights extension for reporting usage metrics
InstantTetheringAllowed	Allow Instant Tethering to be used.
IntensiveWakeUpThrottlingEnabled	Control the IntensiveWakeUpThrottling feature.
IntranetRedirectBehavior	Intranet Redirection Behavior
IsolateOrigins	Enable Site Isolation for specified origins
IsolateOriginsAndroid	Enable Site Isolation for specified origins on Android devices
IsolatedWebAppInstallForceList	Configure list of force-installed Isolated Web Apps
JavascriptEnabled	Enable JavaScript
KeepFullscreenWithoutNotificationUrlAllowList	List of URLs which are allowed to remain in full screen mode without showing a notification
KeyPermissions	Key Permissions
KioskBrowserPermissionsAllowedForOrigins	Allow origins to access browser permissions available to the web kiosk install origin.
LensCameraAssistedSearchEnabled	Allow Google Lens camera assisted search
LensDesktopNTPSearchEnabled	Allow Google Lens button to be shown in the search box on the New Tab page if supported.
LensOnGalleryEnabled	Enables the Lens / Gallery App integration on Google ChromeOS
LensOverlaySettings	Settings for the Lens Overlay feature
LensRegionSearchEnabled	Allow Google Lens region search menu item to be shown in context menu if supported.
ListenToThisPageEnabled	Enable read aloud (text distillation and text-to-speech synthesis) for web pages
LockScreenAutoStartOnlineReauth	Automatic start of online re-authentication on the lock screen
LockScreenMediaPlaybackEnabled	Allows users to play media when the device is locked
LoginDisplayPasswordButtonEnabled	Show the display password button on the login and lock screen
LookalikeWarningAllowlistDomains	Suppress lookalike domain warnings on domains
ManagedAccountsSigninRestriction	Add restrictions on managed accounts
ManagedBookmarks	Managed Bookmarks
ManagedConfigurationPerOrigin	Sets managed configuration values to websites to specific origins
ManagedGuestSessionPrivacyWarningsEnabled	Reduce Managed-guest session auto-launch notifications
MaxConnectionsPerProxy	Maximal number of concurrent connections to the proxy server
MaxInvalidationFetchDelay	Maximum fetch delay after a policy invalidation
MediaRecommendationsEnabled	Enable Media Recommendations
MemorySaverModeSavings	Change Memory Saver Mode Savings
MetricsReportingEnabled	Enable reporting of usage and crash-related data
NTPCardsVisible	Show cards on the New Tab Page
NTPContentSuggestionsEnabled	Show content suggestions on the New Tab page
NTPCustomBackgroundEnabled	Allow users to customize the background on the New Tab page
NTPFooterExtensionAttributionEnabled	Control the visibility of the extension attribution on the New Tab page
NTPFooterManagementNoticeEnabled	Control the visibility of the management notice on the New Tab Page for managed browsers
NTPMiddleSlotAnnouncementVisible	Show the middle slot announcement on the New Tab Page
NTPOutlookCardVisible	Show Outlook Calendar card on the New Tab Page
NTPSharepointCardVisible	Show SharePoint and OneDrive File Card on the New Tab Page
NTPShortcuts	Setting shortcuts on the New Tab Page (Beta)
NativeHostsExecutablesLaunchDirectly	Force Windows executable Native Messaging hosts to launch directly
NearbyShareAllowed	Allow Nearby Share to be enabled.
NetworkPredictionOptions	Enable network prediction
NetworkServiceSandboxEnabled	Enable the network service sandbox
NoteTakingAppsLockScreenAllowlist	The list of note-taking apps allowed on the Google ChromeOS lock screen
OpenNetworkConfiguration	User-level network configuration
OrcaEnabled	Control the enablement of ChromeOS "Help me write" feature
OriginAgentClusterDefaultEnabled	Allows origin-keyed agent clustering by default.
OriginKeyedProcessesEnabled	Enable origin-keyed process isolation by default.
OsColorMode	ChromeOS color mode
OverrideSecurityRestrictionsOnInsecureOrigin	Origins or hostname patterns for which restrictions on insecure origins should not apply
PageUpAndPageDownKeysModifier	Control the shortcut used to trigger the PageUp/PageDown "six pack" keys
PaymentMethodQueryEnabled	Allow websites to query for available payment methods.
PdfAnnotationsEnabled	Enable PDF Annotations
PdfUseSkiaRendererEnabled	Use Skia renderer for PDF rendering
PdfViewerOutOfProcessIframeEnabled	Use out-of-process iframe PDF Viewer
PhoneHubAllowed	Allow Phone Hub to be enabled.
PhoneHubCameraRollAllowed	Allow recent photos and videos taken on the phone to be accessed via Phone Hub.
PhoneHubNotificationsAllowed	Allow Phone Hub notifications to be enabled.
PhoneHubTaskContinuationAllowed	Allow Phone Hub task continuation to be enabled.
PhysicalKeyboardAutocorrect	Control the autocorrect feature on the physical keyboard
PhysicalKeyboardPredictiveWriting	Control the predictive writing feature on the physical keyboard
PinnedLauncherApps	List of pinned apps to show in the launcher
PolicyAtomicGroupsEnabled	Enables the concept of policy atomic groups
PolicyDictionaryMultipleSourceMergeList	Allow merging dictionary policies from different sources
PolicyListMultipleSourceMergeList	Allow merging list policies from different sources
PolicyRefreshRate	Refresh rate for user policy
PostQuantumKeyAgreementEnabled	Enable post-quantum key agreement for TLS
PrefetchWithServiceWorkerEnabled	Allow SpeculationRules prefetch to ServiceWorker-controlled URLs
PrimaryMouseButtonSwitch	Switch the primary mouse button to the right button
ProfilePickerOnStartupAvailability	Profile picker availability on startup
ProfileReauthPrompt	Prompt users to re-authenticate to the profile
PromotionalTabsEnabled	Enable showing full-tab promotional content
PromotionsEnabled	Enable showing promotional content
PromptForDownloadLocation	Ask where to save each file before downloading
PromptOnMultipleMatchingCertificates	Prompt when multiple certificates match
ProvisionalNotificationsAllowed	Allows the app to use provisional notification authorization on iOS
ProxySettings	Proxy settings
QRCodeGeneratorEnabled	Enable QR Code Generator
QuicAllowed	Allow QUIC protocol
QuickOfficeForceFileDownloadEnabled	Force downloading of Office documents (e.g. .docx) instead of opening them in the Basic Editor
ReduceAcceptLanguageEnabled	Control Accept-Language Reduction
RelaunchFastIfOutdated	Relaunch fast if outdated
RelaunchHeadsUpPeriod	Set the time of the first user relaunch notification
RelaunchNotification	Notify a user that a browser relaunch or device restart is recommended or required
RelaunchNotificationPeriod	Set the time period for update notifications
RelaunchWindow	Set the time interval for relaunch
RemoteDebuggingAllowed	Allow remote debugging
RendererAppContainerEnabled	Enable Renderer App Container
ReportCrostiniUsageEnabled	Report information about usage of Linux apps
RequireOnlineRevocationChecksForLocalAnchors	Require online OCSP/CRL checks for local trust anchors
RestrictAccountsToPatterns	Restrict accounts that are visible in Google Chrome
RestrictCoreSharingOnRenderer	Restrict CPU core sharing for renderer process
RestrictSigninToPattern	Restrict which Google accounts are allowed to be set as browser primary accounts in Google Chrome
RestrictedManagedGuestSessionExtensionCleanupExemptList	Configure the list of extension IDs exempt from the restricted managed guest session clean-up procedure
RoamingProfileLocation	Set the roaming profile directory
RoamingProfileSupportEnabled	Enable the creation of roaming copies for Google Chrome profile data
SSLErrorOverrideAllowed	Allow proceeding from the SSL warning page
SSLErrorOverrideAllowedForOrigins	Allow proceeding from the SSL warning page on specific origins
SafeBrowsingForTrustedSourcesEnabled	Enable Safe Browsing for trusted sources
SafeSitesFilterBehavior	Control SafeSites adult content filtering.
SamlLockScreenOfflineSigninTimeLimitDays	Limit the time for which a user authenticated via SAML can log in offline at the lock screen
SandboxExternalProtocolBlocked	Allow Chrome to block navigations toward external protocols in sandboxed iframes
SavingBrowserHistoryDisabled	Disable saving browser history
SchedulerConfiguration	Select task scheduler configuration
ScreenCaptureLocation	Set location to store screen captures
ScreenCaptureWithoutGestureAllowedForOrigins	Allow screen capture without prior user gesture
ScrollToTextFragmentEnabled	Enable scrolling to text specified in URL fragments
SearchSuggestEnabled	Enable search suggestions
SecondaryGoogleAccountSigninAllowed	Allow Sign-in To Additional Google Accounts
SecurityKeyPermitAttestation	URLs/domains automatically permitted direct Security Key attestation
SecurityTokenSessionBehavior	Action on security token removal (e.g., smart card) for Google ChromeOS.
SecurityTokenSessionNotificationSeconds	Duration of the notification on smart card removal for Google ChromeOS.
ServiceWorkerAutoPreloadEnabled	Allow ServiceWorker to dispatch navigation requests without waiting for its startup
ServiceWorkerToControlSrcdocIframeEnabled	Allow ServiceWorker to control srcdoc iframes
SessionLengthLimit	Limit the length of a user session
SessionLocales	Set the recommended locales for a managed session
SharedArrayBufferUnrestrictedAccessAllowed	Specifies whether SharedArrayBuffers can be used in a non cross-origin-isolated context
SharedClipboardEnabled	Enable the Shared Clipboard Feature
SharedWorkerBlobURLFixEnabled	Make SharedWorker blob URL behavior aligned with the specification
ShelfAlignment	Control the shelf position
ShelfAutoHideBehavior	Control shelf auto-hiding
ShoppingListEnabled	Allow the shopping list feature to be enabled
ShortcutCustomizationAllowed	Allow customization of system shortcuts
ShowAiIntroScreenEnabled	Enable displaying the introduction screen for in-session AI features during sign-in flow
ShowAppsShortcutInBookmarkBar	Show the apps shortcut in the bookmark bar
ShowDisplaySizeScreenEnabled	Enable displaying display size setting screen during sign-in
ShowFullUrlsInAddressBar	Show Full URLs
ShowGeminiIntroScreenEnabled	Enable displaying the introduction screen for Gemini during sign-in flow
ShowLogoutButtonInTray	Add a logout button to the system tray
ShowTouchpadScrollScreenEnabled	Enable displaying touchpad scrolling direction screen during sign-in
SideSearchEnabled	Allow showing the most recent default search engine results page in a Browser side panel
SignedHTTPExchangeEnabled	Enable Signed HTTP Exchange (SXG) support
SigninAllowed	Allow sign in to Google Chrome
SigninInterceptionEnabled	Enable signin interception
SitePerProcess	Require Site Isolation for every site
SitePerProcessAndroid	Enable Site Isolation for every site
SiteSearchSettings	Site search settings
SmsMessagesAllowed	Allow SMS Messages to be synced from phone to Chromebook.
SpellCheckServiceEnabled	Enable or disable spell checking web service
SpellcheckEnabled	Enable spellcheck
SpellcheckLanguage	Force enable spellcheck languages
SpellcheckLanguageBlocklist	Force disable spellcheck languages
StandardizedBrowserZoomEnabled	Enable Standardized Browser Zoom Behavior
StartupBrowserWindowLaunchSuppressed	Suppress launching of browser window
StrictMimetypeCheckForWorkerScriptsEnabled	Enable strict MIME type checking for worker scripts
SubAppsAPIsAllowedWithoutGestureAndAuthorizationForOrigins	Allow subApps APIs to be called without prior user gesture or requiring user confirmation.
SuggestLogoutAfterClosingLastWindow	Display the logout confirmation dialog
SuggestedContentEnabled	Enable Suggested Content
SuppressDifferentOriginSubframeDialogs	Suppress JavaScript Dialogs triggered from different origin subframes
SuppressUnsupportedOSWarning	Suppress the unsupported OS warning
SyncDisabled	Disable synchronization of data with Google
SyncTypesListDisabled	List of types that should be excluded from synchronization
SystemFeaturesDisableList	Configure the camera, browser settings, os settings, scanning, web store, canvas, explore, crosh, gallery, terminal, recorder, print jobs, key_shortcuts, gmail, google_docs, google_slides, google_sheets, google_drive, google_keep, google_calendar, google_chat, youtube, google_maps, calculator and text_editor features to be disabled
SystemFeaturesDisableMode	Set the user experience of disabled features
SystemProxySettings	Configures System-proxy service for Google ChromeOS.
SystemShortcutBehavior	Allows applications to capture and override default system shortcuts.
TLS13EarlyDataEnabled	Enable TLS 1.3 Early Data
TPMFirmwareUpdateSettings	Configure TPM firmware update behavior
TabDiscardingExceptions	URL pattern Exceptions to tab discarding
TaskManagerEndProcessEnabled	Enable ending processes in Task Manager
TermsOfServiceURL	Set the Terms of Service for a device-local account
TosDialogBehavior	Configuring the ToS behavior during first-run for CCT
TotalMemoryLimitMb	Set limit on megabytes of memory a single Chrome instance can use.
TouchVirtualKeyboardEnabled	Enable the touch virtual keyboard
TranslateEnabled	Enable Translate
TranslatorAPIAllowed	Allow Translator API
TrashEnabled	Enable capability to send files to the Trash (on supported filesystems) in the Google ChromeOS Files app
URLAllowlist	Allow access to a list of URLs
URLBlocklist	Block access to a list of URLs
UnifiedDesktopEnabledByDefault	Make Unified Desktop available and turn on by default
UnsafelyTreatInsecureOriginAsSecure	Origins or hostname patterns for which restrictions on insecure origins should not apply
UrlKeyedAnonymizedDataCollectionEnabled	Enable URL-keyed anonymized data collection
UsbDetachableAllowlist	Allowlist of USB detachable devices
UsbDetectorNotificationEnabled	Show a notification when a USB device is detected
UserAgentReduction	Enable or disable the User-Agent Reduction.
UserAvatarCustomizationSelectorsEnabled	Allow customization of user avatar image using Google profile image or local images.
UserAvatarImage	User avatar image
UserDataDir	Set user data directory
UserDataSnapshotRetentionLimit	Limits the number of user data snapshots retained for use in case of emergency rollback.
UserDisplayName	Set the display name for device-local accounts
UserFeedbackAllowed	Allow user feedback
VideoCaptureAllowed	Allow or deny video capture
VideoCaptureAllowedUrls	URLs that will be granted access to video capture devices without prompt
VirtualKeyboardResizesLayoutByDefault	The virtual keyboard resizes the layout viewport by default
VirtualKeyboardSmartVisibilityEnabled	Let the on-screen keyboard appear when appropriate.
VmManagementCliAllowed	Specify VM CLI permission
VpnConfigAllowed	Allow the user to manage VPN connections
WPADQuickCheckEnabled	Enable WPAD optimization
WallpaperGooglePhotosIntegrationEnabled	Wallpaper selection from Google Photos
WallpaperImage	Wallpaper image
WarnBeforeQuittingEnabled	Show a warning dialog when the user is attempting to quit
WebAnnotations	Allow detecting plain text entities in web pages.
WebAppInstallForceList	Configure list of force-installed Web Apps
WebAppSettings	Web App management settings
WebAudioOutputBufferingEnabled	Enable adaptive buffering for Web Audio
WebAuthenticationRemoteDesktopAllowedOrigins	Allowed Origins for Proxied WebAuthn Requests from Remote Desktop Applications.
WebAuthnFactors	Configure allowed WebAuthn factors
WebRtcEventLogCollectionAllowed	Allow collection of WebRTC event logs from Google services
WebRtcLocalIpsAllowedUrls	URLs for which local IPs are exposed in WebRTC ICE candidates
WebRtcTextLogCollectionAllowed	Allow WebRTC text logs collection from Google Services
WebRtcUdpPortRange	Restrict the range of local UDP ports used by WebRTC
WebXRImmersiveArEnabled	Allow creating WebXR's "immersive-ar" sessions
WifiSyncAndroidAllowed	Allow Wi-Fi network configurations to be synced across Google ChromeOS devices and a connected Android phone.
WindowOcclusionEnabled	Enable Window Occlusion
Native Messaging
NativeMessagingAllowlist	Configure native messaging allowlist
NativeMessagingBlocklist	Configure native messaging blocklist
NativeMessagingUserLevelHosts	Allow user-level Native Messaging hosts (installed without admin permissions)
Network File Shares settings
NTLMShareAuthenticationEnabled	Controls enabling NTLM as an authentication protocol for SMB mounts
NetBiosShareDiscoveryEnabled	Controls Network File Share discovery via NetBIOS
NetworkFileSharesAllowed	Controls Network File Shares for ChromeOS availability
NetworkFileSharesPreconfiguredShares	List of preconfigured network file shares.
Network settings
AccessControlAllowMethodsInCORSPreflightSpecConformant	Make Access-Control-Allow-Methods matching in CORS preflight spec conformant
CompressionDictionaryTransportEnabled	Enable compression dictionary transport support
DataURLWhitespacePreservationEnabled	DataURL Whitespace Preservation for all media types
DeviceDataRoamingEnabled	Enable data roaming
DeviceDockMacAddressSource	Device MAC address source when docked
DeviceHostnameTemplate	Device network hostname template
DeviceHostnameUserConfigurable	Allow user to configure their device hostname
DeviceOpenNetworkConfiguration	Device-level network configuration
DeviceWiFiAllowed	Enable WiFi
DeviceWiFiFastTransitionEnabled	Enable 802.11r Fast Transition
DnsOverHttpsExcludedDomains	Specify domains to be excluded from being resolved using DNS-over-HTTPS
DnsOverHttpsIncludedDomains	Specify domains to be resolved using DNS-over-HTTPS
DnsOverHttpsSalt	Specify a salt value to be used in DnsOverHttpsTemplatesWithIdentifiers when evaluating identity information
DnsOverHttpsTemplatesWithIdentifiers	Specify URI template of desired DNS-over-HTTPS resolver with identity information
HappyEyeballsV3Enabled	Use the Happy Eyeballs V3 algorithm
IPv6ReachabilityOverrideEnabled	Enable IPv6 reachability check override
NetworkThrottlingEnabled	Enable throttling network bandwidth
OutOfProcessSystemDnsResolutionEnabled	Enable system DNS resolution outside of the network service
Parental supervision settings
EduCoexistenceToSVersion	The valid version of Edu Coexistence Terms of Service
ParentAccessCodeConfig	Parent Access Code Configuration
PerAppTimeLimits	Per-App Time Limits
PerAppTimeLimitsAllowlist	Per-App Time Limits Allowlist
UsageTimeLimit	Time Limit
Password manager
AutomatedPasswordChangeSettings	Enable automated password change
DeletingUndecryptablePasswordsEnabled	Enable deleting undecryptable passwords
PasswordDismissCompromisedAlertEnabled	Enable dismissing compromised password alerts for entered credentials
PasswordLeakDetectionEnabled	Enable leak detection for entered credentials
PasswordManagerBlocklist	Configure the list of domains for which the Password Manager (Save and Fill) will be disabled
PasswordManagerEnabled	Enable saving passwords to the password manager
PasswordManagerPasskeysEnabled	Enable saving passkeys to the password manager
PasswordSharingEnabled	Enable sharing user credentials with other users
ThirdPartyPasswordManagersAllowed	Allow using Third-Party Password Managers in Google Chrome on Android
PluginVm
PluginVmAllowed	Allow devices to use a PluginVm on Google ChromeOS
PluginVmDataCollectionAllowed	Allow PluginVm Product Analytics
PluginVmImage	PluginVm image
PluginVmRequiredFreeDiskSpace	Required free disk space for PluginVm
PluginVmUserId	PluginVm user id
UserPluginVmAllowed	Allow users to use a PluginVm on Google ChromeOS
Power and shutdown
DeviceLoginScreenPowerManagement	Power management on the login screen
DeviceRebootOnShutdown	Automatic reboot on device shutdown
UptimeLimit	Limit device uptime by automatically rebooting
Power management
AllowScreenWakeLocks	Allow screen wake locks
AllowWakeLocks	Allow wake locks
DeviceAdvancedBatteryChargeModeDayConfig	Set advanced battery charge mode day config
DeviceAdvancedBatteryChargeModeEnabled	Enable advanced battery charge mode
DeviceBatteryChargeCustomStartCharging	Set battery charge custom start charging in percent
DeviceBatteryChargeCustomStopCharging	Set battery charge custom stop charging in percent
DeviceBatteryChargeMode	Battery charge mode
DeviceBootOnAcEnabled	Enable boot on AC (alternating current)
DeviceChargingSoundsEnabled	Enable Charging Sounds
DeviceLowBatterySoundEnabled	Enable Low Battery Sound
DevicePowerAdaptiveChargingEnabled	Enable adaptive charging model to hold charging process to extend battery life
DevicePowerBatteryChargingOptimization	Battery Charging Optimization
DevicePowerPeakShiftBatteryThreshold	Set power peak shift battery threshold in percent
DevicePowerPeakShiftDayConfig	Set power peak shift day config
DevicePowerPeakShiftEnabled	Enable peak shift power management
DeviceUsbPowerShareEnabled	Enable USB power share
IdleAction	Action to take when the idle delay is reached
IdleActionAC	Action to take when the idle delay is reached while running on AC power
IdleActionBattery	Action to take when the idle delay is reached while running on battery power
IdleDelayAC	Idle delay when running on AC power
IdleDelayBattery	Idle delay when running on battery power
IdleWarningDelayAC	Idle warning delay when running on AC power
IdleWarningDelayBattery	Idle warning delay when running on battery power
LidCloseAction	Action to take when the user closes the lid
PowerManagementIdleSettings	Power management settings when the user becomes idle
PowerManagementUsesAudioActivity	Specify whether audio activity affects power management
PowerManagementUsesVideoActivity	Specify whether video activity affects power management
PowerSmartDimEnabled	Enable smart dim model to extend the time until the screen is dimmed
PresentationScreenDimDelayScale	Percentage by which to scale the screen dim delay in presentation mode
ScreenBrightnessPercent	Screen brightness percent
ScreenDimDelayAC	Screen dim delay when running on AC power
ScreenDimDelayBattery	Screen dim delay when running on battery power
ScreenLockDelayAC	Screen lock delay when running on AC power
ScreenLockDelayBattery	Screen lock delay when running on battery power
ScreenLockDelays	Screen lock delays
ScreenOffDelayAC	Screen off delay when running on AC power
ScreenOffDelayBattery	Screen off delay when running on battery power
UserActivityScreenDimDelayScale	Percentage by which to scale the screen dim delay if the user becomes active after dimming
WaitForInitialUserActivity	Wait for initial user activity
Printing
CloudPrintProxyEnabled	Enable Google Cloud Print proxy
DefaultPrinterSelection	Default printer selection rules
DeletePrintJobHistoryAllowed	Allow print job history to be deleted
DeviceExternalPrintServers	External print servers
DeviceExternalPrintServersAllowlist	Enabled external print servers
DevicePrinters	Enterprise printer configuration file for devices
DevicePrintersAccessMode	Device printers configuration access policy.
DevicePrintersAllowlist	Enabled enterprise device printers
DevicePrintersBlocklist	Disabled enterprise device printers
DevicePrintingClientNameTemplate	Template for the 'client-name' Internet Printing Protocol attribute
DisablePrintPreview	Disable Print Preview
ExternalPrintServers	External print servers
ExternalPrintServersAllowlist	Enabled external print servers
OopPrintDriversAllowed	Out-of-process print drivers allowed
PrintHeaderFooter	Print Headers and Footers
PrintJobHistoryExpirationPeriod	Set the time period in days for storing print jobs metadata
PrintPdfAsImageAvailability	Print PDF as Image Available
PrintPdfAsImageDefault	Print PDF as Image Default
PrintPostScriptMode	Print PostScript Mode
PrintPreviewUseSystemDefaultPrinter	Use System Default Printer as Default
PrintRasterizationMode	Print Rasterization Mode
PrintRasterizePdfDpi	Print Rasterize PDF DPI
PrinterTypeDenyList	Disable printer types on the deny list
Printers	Configures a list of printers
PrintersBulkAccessMode	Printer configuration access policy.
PrintersBulkAllowlist	Enabled enterprise printers
PrintersBulkBlocklist	Disabled enterprise printers
PrintersBulkConfiguration	Enterprise printer configuration file
PrintingAPIExtensionsAllowlist	Extensions allowed to skip confirmation dialog when sending print jobs via chrome.printing API
PrintingAllowedBackgroundGraphicsModes	Restrict background graphics printing mode
PrintingAllowedColorModes	Restrict printing color mode
PrintingAllowedDuplexModes	Restrict printing duplex mode
PrintingAllowedPinModes	Restrict PIN printing mode
PrintingBackgroundGraphicsDefault	Default background graphics printing mode
PrintingColorDefault	Default printing color mode
PrintingDuplexDefault	Default printing duplex mode
PrintingEnabled	Enable printing
PrintingLPACSandboxEnabled	Enable Printing LPAC Sandbox
PrintingMaxSheetsAllowed	Maximal number of sheets allowed to use for a single print job
PrintingPaperSizeDefault	Default printing page size
PrintingPinDefault	Default PIN printing mode
PrintingSendUsernameAndFilenameEnabled	Send username and filename to native printers
UserPrintersAllowed	Allow access to CUPS printers
Privacy Sandbox policies
PrivacySandboxAdMeasurementEnabled	Choose whether the Privacy Sandbox ad measurement setting can be disabled
PrivacySandboxAdTopicsEnabled	Choose whether the Privacy Sandbox Ad topics setting can be disabled
PrivacySandboxFingerprintingProtectionEnabled	Choose whether the Privacy Sandbox Fingerprinting Protection feature is to be enabled in Incognito mode.
PrivacySandboxIpProtectionEnabled	Choose whether the Privacy Sandbox IP Protection feature should be enabled.
PrivacySandboxPromptEnabled	Choose whether the Privacy Sandbox prompt can be shown to your users
PrivacySandboxSiteEnabledAdsEnabled	Choose whether the Privacy Sandbox Site-suggested ads setting can be disabled
Privacy screen settings
DeviceLoginScreenPrivacyScreenEnabled	Set the state of privacy screen on the login screen
PrivacyScreenEnabled	Enable privacy screen
Protected Content
ProtectedContentIdentifiersAllowed	Allows web pages to use identifiers for the purpose of protected content playback
Proxy server
ProxyBypassList	Proxy bypass rules
ProxyMode	Choose how to specify proxy server settings
ProxyPacUrl	URL to a proxy .pac file
ProxyServer	Address or URL of proxy server
ProxyServerMode	Choose how to specify proxy server settings
Quick Answers
QuickAnswersDefinitionEnabled	Enable Quick Answers Definition
QuickAnswersEnabled	Enable Quick Answers
QuickAnswersTranslationEnabled	Enable Quick Answers Translation
